date,downloads
2026-03-26,2355
2026-03-27,2528
2026-03-28,321
2026-03-29,278
2026-03-30,2462
2026-03-31,2295
2026-04-01,2735
2026-04-02,2030
2026-04-03,1474
2026-04-04,497
2026-04-05,347
2026-04-06,1871
2026-04-07,2185
2026-04-08,2952
2026-04-09,2794
2026-04-10,2722
2026-04-11,434
2026-04-12,792
2026-04-13,3512
2026-04-14,3006
2026-04-15,3165
2026-04-16,3116
2026-04-17,4106
2026-04-18,1257
2026-04-19,933
2026-04-20,3933
2026-04-21,3530
2026-04-22,2933
2026-04-23,2528
2026-04-24,2906
2026-04-25,633
2026-04-26,540
2026-04-27,4006
2026-04-28,4575
2026-04-29,2988
2026-04-30,3633
2026-05-01,2705
2026-05-02,793
2026-05-03,966
2026-05-04,2961
2026-05-05,2516
2026-05-06,3818
2026-05-07,3511
2026-05-08,3135
2026-05-09,1329
2026-05-10,704
2026-05-11,2357
2026-05-12,3350
2026-05-13,2703
2026-05-14,4114
2026-05-15,3900
2026-05-16,972
2026-05-17,636
2026-05-18,3108
2026-05-19,2455
2026-05-20,2364
2026-05-21,3109
2026-05-22,2608
2026-05-23,607
2026-05-24,726
2026-05-25,929
2026-05-26,2639
2026-05-27,3633
2026-05-28,3427
2026-05-29,3836
2026-05-30,2118
2026-05-31,429
2026-06-01,4881
2026-06-02,4844
2026-06-03,3499
2026-06-04,4050
2026-06-05,3429
2026-06-06,901
2026-06-07,440
2026-06-08,2290
2026-06-09,2180
2026-06-10,2785
2026-06-11,2953
2026-06-12,2668
2026-06-13,659
2026-06-14,960
2026-06-15,3453
2026-06-16,3082
2026-06-17,3167
2026-06-18,3280
2026-06-19,1111
2026-06-20,835
2026-06-21,397
2026-06-22,3109
2026-06-23,3919
2026-06-24,3926
2026-06-25,4371
2026-06-26,4666
2026-06-27,1121
2026-06-28,546
2026-06-29,3942
2026-06-30,4232
2026-07-01,569
