date,version,cumulative_downloads
2026-06-23,0.13.1,15089
2026-06-23,0.13.0,4741
2026-06-23,0.12.1,19144
2026-06-23,0.12.0,2134
2026-06-23,0.11.2,62322
2026-06-23,0.11.1,7310
2026-06-23,0.11.0,456
2026-06-23,0.10.1,189797
2026-06-23,0.10.0,17453
2026-06-23,0.9.2,7692
2026-06-23,0.9.1,1895
2026-06-23,0.9.0,5749
2026-06-23,0.8.2,46177
2026-06-23,0.8.1,4619
2026-06-23,0.8.0,948
2026-06-23,0.7.0,4039
2026-06-23,0.6.1,33348
2026-06-23,0.6.0,586
2026-06-23,0.5.2,6029
2026-06-23,0.5.1,2479
2026-06-23,0.5.0,924
2026-06-23,0.4.0,7589
2026-06-23,0.3.0,4118
2026-06-23,0.2.0,4048
2026-06-23,0.1.4,1132
2026-06-23,0.1.3,1036
2026-06-23,0.1.2,1008
2026-06-23,0.1.1,986
2026-06-23,0.1.0,1001
